firsturl,date,chjh,mzelst
NA,"August 21, 2015 at 02:17PM",0,0
https://t.co/2s03gUK6z0,"October 24, 2015 at 02:06AM",1,1
https://t.co/0cm97Lg5jS,"November 01, 2015 at 03:09PM",0,0
https://t.co/fV6IZ6TeW6,"November 01, 2015 at 03:30PM",0,0
NA,"September 10, 2015 at 10:32AM",0,0
NA,"September 10, 2015 at 10:33AM",0,0
NA,"October 29, 2015 at 08:17PM",0,0
NA,"November 22, 2015 at 07:25PM",0,0
NA,"December 10, 2015 at 12:36AM",0,0
NA,"November 06, 2015 at 12:37PM",1,1
http://t.co/RmjI5a6oqA,"October 18, 2015 at 11:40PM",1,0
NA,"October 22, 2015 at 02:04AM",0,0
https://t.co/Q4CHwh6m1i,"November 23, 2015 at 04:07PM",0,0
NA,"December 07, 2015 at 12:59PM",0,0
https://t.co/6p5lPpkKtg,"December 07, 2015 at 12:57PM",0,0
http://t.co/81aaMKOB6d,"August 18, 2015 at 05:48PM",0,0
NA,"October 23, 2015 at 09:33AM",0,0
https://t.co/fNIz1mwESx,"October 21, 2015 at 10:19AM",0,0
NA,"September 10, 2015 at 11:55PM",0,0
NA,"September 10, 2015 at 11:57PM",0,0
NA,"September 10, 2015 at 11:59PM",0,0
NA,"September 11, 2015 at 12:19AM",0,0
NA,"November 01, 2015 at 08:42AM",0,0
NA,"October 22, 2015 at 01:54AM",0,0
https://t.co/tvLlV0alEB,"November 03, 2015 at 03:10PM",0,0
NA,"October 23, 2015 at 09:09PM",0,0
https://t.co/NhRI5G3F7p,"October 21, 2015 at 11:08PM",0,0
NA,"November 11, 2015 at 02:14AM",0,0
NA,"November 03, 2015 at 08:09PM",0,0
NA,"October 26, 2015 at 08:44AM",0,0
https://t.co/5grWIKhUvz,"October 22, 2015 at 02:07PM",0,0
https://t.co/PDJWt2jJZk,"October 22, 2015 at 06:10PM",1,1
https://t.co/6PL2gxfx2F,"October 23, 2015 at 12:28AM",0,0
https://t.co/rflkfLOyzO,"October 24, 2015 at 11:43PM",0,0
https://t.co/WCWvEh4diO,"October 22, 2015 at 06:29AM",0,1
NA,"November 08, 2015 at 03:17PM",1,1
https://t.co/WnddsV1YsO,"November 15, 2015 at 08:06PM",0,0
https://t.co/NByeIlX8sI,"October 24, 2015 at 11:24AM",1,0
